'uiIndex, szWeaponName, ubWeaponClass, ubWeaponType, ubCalibre, ubReadyTime, ubShotsPer4Turns, ubShotsPerBurst, ubBurstPenalty, ubBulletSpeed, ubImpact, ubDeadliness, bAccuracy, ubMagSize, usRange, usReloadDelay, BurstAniDelay, ubAttackVolume, ubHitVolume, sSound, sBurstSound, sSilencedBurstSound, sReloadSound, sLocknLoadSound, SilencedSound, bBurstAP, bAutofireShotsPerFiveAP, APsToReload, SwapClips, MaxDistForMessyDeath, AutoPenalty, NoSemiAuto, EasyUnjam, APsToReloadManually, ManualReloadSound, nAccuracy, bRecoilX, bRecoilY, ubAimLevels, ubRecoilDelay, Handling, usOverheatingJamThreshold, usOverheatingDamageThreshold, usOverheatingSingleShotTemperature, HeavyGun'
0, Nothing,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,157,0,0,20,1,7,0,0,0,0,0,0,0,0,0,0,0,4000,5000,120,0, 
1, Glock 17,1,1,2,4, 26.34,NULL,0,21,25,16,1,18,115,200,100,50,3,299,NULL,NULL,100,106,156,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
2, Glock 18,1,2,2,4, 24.53,NULL,16,21,24,16,1,18,140,200,23,50,3,371,57,111,100,106,156,NULL,5,25,1,7,16,NULL,NULL,NULL,476,6,6,15,3,NULL,9,3500,4500,70,NULL, 
3, Beretta 92F,1,1,2,4, 24.53,NULL,0,21,25,15,1,15,120,200,100,50,3,367,NULL,NULL,100,106,156,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
4, Beretta 93R,1,2,2,4, 24.53,3,11,21,24,18,1,18,145,200,27,55,3,368,54,111,100,106,156,7,NULL,25,1,7,11,NULL,NULL,NULL,476,8,4,10,3,NULL,8,3200,4200,70,NULL, 
5, .38 Special,1,1,1,2, 24.53,NULL,0,20,20,14,0,6,105,200,100,45,3,459,NULL,NULL,100,106,156,NULL,NULL,32,1,7,0,NULL,1,NULL,480,4,NULL,NULL,2,NULL,7,3500,4000,60,NULL, 
6, Barracuda,1,1,4,4, 15.81,NULL,0,20,26,16,1,6,110,200,100,60,5,423,NULL,NULL,100,106,157,NULL,NULL,32,1,7,0,NULL,1,NULL,480,6,NULL,NULL,2,NULL,8,3500,4000,70,NULL, 
7, Desert Eagle .357,1,1,4,8, 16.55,NULL,0,21,28,16,1,9,135,200,100,60,5,422,NULL,NULL,100,106,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,14,NULL,NULL,3,NULL,13,3800,4300,70,NULL, 
8, Colt M1911A1,1,1,3,4, 24.53,NULL,0,21,20,16,1,7,85,200,100,40,3,413,NULL,NULL,100,106,157,NULL,NULL,22,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
9, HK MP5K )-|,2,2,2,6, 17.36,3,12,22,24,18,1,30,140,200,33,50,3,375,61,62,101,107,156,10,4,30,1,7,12,NULL,NULL,NULL,476,6,5,11,4,NULL,14,3000,4000,70,NULL, 
